data_id,assoc_actor_1
7071632,
7071641,
7071661,
7071675,
7071677,
7071678,Former Opposition Rebels (Syria)
7071699,Labour Group (Syria)
7071710,
7071719,
7071633,
7071652,
7071653,
7071654,
7071585,Shiheil Communal Group (Syria)
7071604,Opposition Rebels (Syria)
7071607,
7071642,
7071650,
7071658,
7071659,Militia (Pro-Government)
7071664,
7071679,
7071687,Prisoners (Syria)
7071694,Opposition Rebels (Syria)
7071698,
7071578,Al-Nu'aym Tribal Group (Syria)
7071579,
7071588,
7071596,Military Forces of the United States (2017-)
7071602,
7071606,
7071620,
7071622,
7071624,
7071640,
7071647,
7071651,
7071674,
7071714,
7071715,
7071723,
7071725,
7071726,
7071738,
7071581,
7071587,
7071594,
7071599,
7071626,
7071629,
7071645,Prisoners (Syria)
7071669,
7071670,JWS: Syrian National Army
7071671,JWS: Syrian National Army
7071676,
7071682,
7071728,
7071580,Militia (Pro-Government); Hezbollah
7071583,Former Opposition Rebels (Syria); Former Islamic State (Syria); Prisoners (Syria)
7071584,Prisoners (Syria)
7071598,
7071600,
7071627,
7071630,
7071635,
7071643,
7071648,
7071656,
7071667,
7071668,
7071672,JWS: Syrian National Army; Al Mu'tasim Brigade; Northern Democratic Brigade; 20th Division
7071680,
7071691,
7071693,
7071582,
7071586,
7071601,Civilians (Syria)
7071603,Opposition Rebels (Syria)
7071605,
7071625,
7071628,
7071634,
7071637,Farmers (Syria)
7071649,
7071655,
7071657,
7071666,
7071683,
7071718,
7071722,
7071745,
7071746,
7071747,Civilians (Syria)
7064328,
7064333,
7064334,
7064338,
7064346,
7064192,
7064212,
7064227,JWS: Syrian National Army
7064242,
7064243,
7064245,
7071684,Women (Syria)
7064262,Refugees/IDPs (Syria)
7064263,Women (Syria)
7064291,
7064292,
7064293,
7064295,
7064299,
7064314,
7071744,Former QSD: Syrian Democratic Forces
7064193,
7064261,
7064270,
7064273,
7064279,
7064297,
7064321,Farmers (Syria)
7064188,
7064205,
7064214,Operation Peace Spring; JWS: Syrian National Army
7064215,
7064218,
7064234,
7064244,
7064250,
7064268,
7064278,
7064282,
7064283,
7064284,
7064294,
7064298,
7064337,
7064350,
7064187,
7064197,
7071646,
7064254,
7064255,
7064267,
7064275,
7064280,
7064285,
7064286,
7064306,
7064330,Farmers (Syria)
7064339,
7064213,Civilians (Syria)
7064238,
7064252,
7064259,
7064269,
7064276,Farmers (Syria)
7064287,Farmers (Syria)
7064288,Farmers (Syria)
7064296,
7064304,
7064189,
7064190,Al Sham Corps
7064191,Al Sham Corps
