,count,name
0,25072,Civilians (Syria)
1,8849,Islamic State (Syria)
2,5218,Opposition Rebels (Syria)
3,4857,Military Forces of Syria (2000-)
4,4070,QSD: Syrian Democratic Forces
5,2042,HTS: Hayat Tahrir al Sham
6,1649,Unidentified Armed Group (Syria)
7,1465,YPG: Peoples Protection Units
8,866,Islamist Militia (Syria)
9,409,AAS: Ahrar al Sham
10,373,Militia (Pro-Government)
11,344,FaR: Al Rahman Corps
12,344,Military Forces of Turkey (2016-)
13,336,Operation Peace Spring
14,331,JTW: National Liberation Front
15,320,Khalid ibn al Walid Army
16,259,Jaysh al Islam
17,179,Military Forces of Russia (2000-)
18,162,Asayish (Syria)
19,159,Military Forces of Syria (2000-) 4th Armored Division
20,157,JSH: Free Syrian Army
21,147,QDW: National Defense Forces
22,138,Al Sham Corps
23,130,Military Forces of Syria (2000-) Air Force Intelligence Directorate
24,128,Militia (Pro-Iran)
25,122,Military Forces of Syria (2000-) Military Intelligence
26,119,Hezbollah
27,116,JWS: Syrian National Army
28,105,Jaysh al Izza
29,101,Jabhat Fateh al Sham
30,100,Civilians (Iraq)
31,90,National Police Forces
32,89,Military Forces of Syria (2000-) Syrian Arab Air Force
33,89,HNDZ: Nour al Din al Zinki Movement
34,87,Al Fath Al Mubeen Operation Room
35,81,Hurras al Deen
36,80,Global Coalition Against Daesh
37,76,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps
38,74,JTS: Syria Liberation Front
39,63,Military Forces of Syria (2000-) 5th Assault Corps
40,63,JaS: Levant Front
41,62,Protesters (Syria)
42,56,Sultan Murad Division
43,54,Ahrar al Sharqiyah
44,53,Ahmad al Abdo Forces
45,51,LaQ: Quds Brigade
46,49,TIP: Turkistan Islamic Party
47,49,Hamza Division - Aleppo
48,44,HXP: Self-Defense Forces
49,43,Military Forces of Israel (2009-)
50,43,As-Sweida Communal Militia (Syria)
51,39,Police Forces of Syria (2000-)
52,36,Operation Euphrates Shield
53,35,Wa Harredh al Moa'mineen Operation Room
54,31,Islamist Rebels (Syria)
55,31,Suquor al Sham
56,31,Unidentified Military Forces
57,31,Free Syrian Police
58,30,Former Operation Euphrates Shield
59,28,Qaterji Militia
60,28,Police Forces of Syria (2000-) State Security
61,28,Jaysh al Nasr
62,27,JOS: Lions of the East Army
63,26,Dar'a Popular Resistance
64,24,Military Forces of Iran (1989-)
65,23,QSD: Syrian Democratic Forces - Intelligence
66,22,Former Operation Olive Branch
67,22,Banyan al Marsus
68,21,Operation Olive Branch
69,21,Fatemiyoun Brigade
70,21,Unidentified Tribal Militia (Syria)
71,21,Free Idlib Army
72,20,Jaysh al Ahrar
73,20,Civilians (International)
74,19,Military Forces of Syria (2000-) State Security
75,19,Kurdish Ethnic Militia (Syria)
76,19,Military Forces of Syria (2000-) Syrian Republican Guard
77,18,Liberation Army of Afrin
78,17,JaT: Army of Revolutionaries
79,16,JTR: Front of Raqqa Revolutionaries
80,15,LAS: Northern Storm Brigade
81,14,Rioters (Syria)
82,13,1st Coastal Division
83,12,Al-Fath Al-Mubeen Operation Room
84,12,Hamza Brigade
85,12,Wa Harredh al Moa'mineen
86,12,Sultan Suleiman Shah Brigade (Syria)
87,11,Liwa al Aqsa
88,11,Union of the Forces of Jabal al Sheikh
89,11,Al Mu'tasim Brigade
90,10,Liwa al Baqir
91,10,Sheikh al-Karama
92,10,YPG: Peoples Protection Units - Anti-Terror Unit
93,10,Ansar al Tawhid
94,10,Fathbatou Operation Room
95,10,Syriac Military Council (Syria)
96,10,3rd Corps
97,10,Jaysh al Nukhba
98,9,JTS: Syrian Revolutionaries Front
99,9,Jund al Aqsa
100,8,Police Forces of Syria (2000-) Political Intelligence
101,8,Menbij Military Council
102,8,PYD: Kurdish Democratic Union Party
103,8,Police Forces of Syria (2000-) General Intelligence Directorate
