,count,name
0,5064,Militia (Pro-Government)
1,2818,Islamist Militia (Syria)
2,2566,Military Forces of Russia (2000-)
3,1994,Military Forces of Syria (2000-) Syrian Arab Air Force
4,1351,Military Forces of the United States (2017-)
5,1293,Allied Syrian and/or Russian Forces
6,1286,Opposition Rebels (Syria)
7,1140,Prisoners (Syria)
8,1080,Refugees/IDPs (Syria)
9,1016,Global Coalition Against Daesh
10,783,Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-)
11,663,Opposition Rebels (Syria); Islamist Militia (Syria)
12,660,Civilians (Syria)
13,584,JWS: Syrian National Army
14,554,Militia (Pro-Government); Allied Syrian and/or Russian Forces
15,469,Military Forces of the United States (2017-2021)
16,435,Farmers (Syria)
17,379,Former Opposition Rebels (Syria)
18,299,Opposition Rebels (Syria); Military Forces of Turkey (2016-)
19,292,Military Forces of Turkey (2016-)
20,281,Health Workers (Syria)
21,273,Women (Syria)
22,251,Military Forces of Syria (2000-) Syrian Arab Air Force; Militia (Pro-Government)
23,243,Militia (Pro-Government); Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-)
24,241,Military Forces of Syria (2000-)
25,224,QSD: Syrian Democratic Forces
26,196,Militia (Pro-Government); Military Forces of Syria (2000-) Syrian Arab Air Force
27,194,YPG: Peoples Protection Units
28,165,Hezbollah
29,155,Military Forces of Turkey (2016-); Opposition Rebels (Syria)
30,149,Military Forces of Russia (2000-); Militia (Pro-Government)
31,143,Menbij Military Council
32,140,Military Forces of the United States (2017-); Military Forces of the United Kingdom (2010-)
33,140,Militia (Pro-Government); Military Forces of Russia (2000-)
34,127,Syrian Civil Defense
35,126,JWS: Syrian National Army; Military Forces of Turkey (2016-)
36,125,JSH: Free Syrian Army
37,121,Global Coalition Against Daesh; Military Forces of the United States (2017-)
38,117,Militia (Pro-Iran)
39,116,Military Forces of the United Kingdom (2010-)
40,114,Journalists (Syria)
41,114,HTS: Hayat Tahrir al Sham
42,108,Islamist Militia (Syria); Military Forces of Turkey (2016-)
43,104,Teachers (Syria)
44,103,Labour Group (Syria)
45,101,Military Forces of Russia (2000-); Military Forces of Syria (2000-) Syrian Arab Air Force
46,96,Allied Syrian and/or Russian Forces; Militia (Pro-Government)
47,96,Operation Olive Branch; Opposition Rebels (Syria); Islamist Militia (Syria)
48,95,Military Forces of Syria (2000-) Syrian Arab Air Force; Allied Syrian and/or Russian Forces
49,91,Former Islamic State (Syria)
50,90,Aid Workers (Syria)
51,88,Muslim Group (Syria)
52,86,Reconciliation Committee Members (Syria)
53,86,Military Forces of the United States (2009-2017)
54,86,FaR: Al Rahman Corps
55,86,Global Coalition Against Daesh; Military Forces of the United States (2017-) Special Forces
56,85,Suquor al Sham
57,83,Refugees/IDPs (Iraq)
58,81,Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-); Militia (Pro-Government)
59,78,Global Coalition Against Daesh; Military Forces of the United Kingdom (2010-)
60,76,HXP: Self-Defense Forces
61,74,Militia (Pro-Government); Hezbollah
62,73,Military Forces of Syria (2000-) Syrian Arab Air Force; Militia (Pro-Government); Military Forces of Russia (2000-)
63,72,QDW: National Defense Forces
64,68,Militia (Pro-Government); Military Forces of Russia (2000-); Military Forces of Syria (2000-) Syrian Arab Air Force
65,68,Military Forces of Syria (2000-) Tiger Paramilitary Forces (Qawat al Nimr)
66,68,Students (Syria)
67,65,Military Forces of France (2017-)
68,61,Allied Syrian and/or Russian Forces; Military Forces of Syria (2000-) Syrian Arab Air Force
69,61,Islamic State (Syria)
70,59,Operation Euphrates Shield
71,58,JTW: National Liberation Front
72,57,Unidentified Armed Group (Syria)
73,55,Syrian Civil Defense; Aid Workers (Syria)
74,52,AAS: Ahrar al Sham
75,52,Refugees/IDPs (Syria); Women (Syria)
76,51,HNDZ: Nour al Din al Zinki Movement
77,50,Asayish (Syria)
78,50,Former Operation Euphrates Shield
79,49,TIP: Turkistan Islamic Party
80,49,Military Forces of Turkey (2016-); JWS: Syrian National Army
81,48,MDA: Deir-ez-Zor Military Council
82,48,Militia (Pro-Government); LaQ: Quds Brigade; Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-)
83,47,Military Forces of the United States (2021-)
84,45,Former Operation Olive Branch
85,45,JOS: Lions of the East Army
86,44,Global Coalition Against Daesh; Military Forces of the United States (2017-2021)
87,43,AAS: Ahrar al Sham; Suquor al Sham
88,41,Islamist Rebels (Syria)
89,40,Aid Workers (Syria); Health Workers (Syria)
90,40,Former Islamist Militia (Syria)
91,40,Syrian Salvation Government
92,40,Military Forces of Iran (1989-); Militia (Pro-Government)
