,count,name
0,19155,Armed clash
1,10626,Air/drone strike
2,10469,Shelling/artillery/missile attack
3,6077,Remote explosive/landmine/IED
4,5812,Attack
5,2129,Government regains territory
6,2110,Non-state actor overtakes territory
7,1840,Abduction/forced disappearance
8,739,Looting/property destruction
9,696,Arrests
10,397,Disrupted weapons use
11,382,Non-violent transfer of territory
12,325,Agreement
13,204,Grenade
14,183,Suicide bomb
15,132,Other
16,107,Change to group/activity
17,71,Excessive force against protesters
18,54,Mob violence
19,54,Protest with intervention
20,50,Violent demonstration
21,45,Chemical weapon
22,11,Sexual violence
23,1,Headquarters or base established
24,1,Peaceful protest
