name,0
Militia (Pro-Government),0
Islamist Militia (Syria),1
Military Forces of Russia (2000-),2
Military Forces of Syria (2000-) Syrian Arab Air Force,3
Military Forces of the United States (2017-),4
Allied Syrian and/or Russian Forces,5
Opposition Rebels (Syria),6
Prisoners (Syria),7
Refugees/IDPs (Syria),8
Global Coalition Against Daesh,9
Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-),10
Opposition Rebels (Syria); Islamist Militia (Syria),11
Civilians (Syria),12
JWS: Syrian National Army,13
Militia (Pro-Government); Allied Syrian and/or Russian Forces,14
Military Forces of the United States (2017-2021),15
Farmers (Syria),16
Former Opposition Rebels (Syria),17
Opposition Rebels (Syria); Military Forces of Turkey (2016-),18
Military Forces of Turkey (2016-),19
Health Workers (Syria),20
Women (Syria),21
Military Forces of Syria (2000-) Syrian Arab Air Force; Militia (Pro-Government),22
Militia (Pro-Government); Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-),23
Military Forces of Syria (2000-),24
QSD: Syrian Democratic Forces,25
Militia (Pro-Government); Military Forces of Syria (2000-) Syrian Arab Air Force,26
YPG: Peoples Protection Units,27
Hezbollah,28
Military Forces of Turkey (2016-); Opposition Rebels (Syria),29
Military Forces of Russia (2000-); Militia (Pro-Government),30
Menbij Military Council,31
Military Forces of the United States (2017-); Military Forces of the United Kingdom (2010-),32
Militia (Pro-Government); Military Forces of Russia (2000-),33
Syrian Civil Defense,34
JWS: Syrian National Army; Military Forces of Turkey (2016-),35
JSH: Free Syrian Army,36
Global Coalition Against Daesh; Military Forces of the United States (2017-),37
Militia (Pro-Iran),38
Military Forces of the United Kingdom (2010-),39
Journalists (Syria),40
HTS: Hayat Tahrir al Sham,41
Islamist Militia (Syria); Military Forces of Turkey (2016-),42
Teachers (Syria),43
Labour Group (Syria),44
Military Forces of Russia (2000-); Military Forces of Syria (2000-) Syrian Arab Air Force,45
Allied Syrian and/or Russian Forces; Militia (Pro-Government),46
Operation Olive Branch; Opposition Rebels (Syria); Islamist Militia (Syria),47
Military Forces of Syria (2000-) Syrian Arab Air Force; Allied Syrian and/or Russian Forces,48
Former Islamic State (Syria),49
Aid Workers (Syria),50
Muslim Group (Syria),51
Reconciliation Committee Members (Syria),52
Military Forces of the United States (2009-2017),53
FaR: Al Rahman Corps,54
Global Coalition Against Daesh; Military Forces of the United States (2017-) Special Forces,55
Suquor al Sham,56
Refugees/IDPs (Iraq),57
Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-); Militia (Pro-Government),58
Global Coalition Against Daesh; Military Forces of the United Kingdom (2010-),59
HXP: Self-Defense Forces,60
Militia (Pro-Government); Hezbollah,61
Military Forces of Syria (2000-) Syrian Arab Air Force; Militia (Pro-Government); Military Forces of Russia (2000-),62
QDW: National Defense Forces,63
Militia (Pro-Government); Military Forces of Russia (2000-); Military Forces of Syria (2000-) Syrian Arab Air Force,64
Military Forces of Syria (2000-) Tiger Paramilitary Forces (Qawat al Nimr),65
Students (Syria),66
Military Forces of France (2017-),67
Allied Syrian and/or Russian Forces; Military Forces of Syria (2000-) Syrian Arab Air Force,68
Islamic State (Syria),69
Operation Euphrates Shield,70
JTW: National Liberation Front,71
Unidentified Armed Group (Syria),72
Syrian Civil Defense; Aid Workers (Syria),73
AAS: Ahrar al Sham,74
Refugees/IDPs (Syria); Women (Syria),75
HNDZ: Nour al Din al Zinki Movement,76
Asayish (Syria),77
Former Operation Euphrates Shield,78
TIP: Turkistan Islamic Party,79
Military Forces of Turkey (2016-); JWS: Syrian National Army,80
MDA: Deir-ez-Zor Military Council,81
Militia (Pro-Government); LaQ: Quds Brigade; Military Forces of Syria (2000-) Syrian Arab Air Force; Military Forces of Russia (2000-),82
Military Forces of the United States (2021-),83
Former Operation Olive Branch,84
JOS: Lions of the East Army,85
Global Coalition Against Daesh; Military Forces of the United States (2017-2021),86
AAS: Ahrar al Sham; Suquor al Sham,87
Islamist Rebels (Syria),88
Aid Workers (Syria); Health Workers (Syria),89
Former Islamist Militia (Syria),90
Syrian Salvation Government,91
Military Forces of Iran (1989-); Militia (Pro-Government),92
Hezbollah; Militia (Pro-Government),93
Military Forces of the Netherlands (2010-),94
Global Coalition Against Daesh; Military Forces of the United States (2017-); Military Forces of the United Kingdom (2010-),95
Operation Olive Branch,96
Jaysh al Islam,97
Kurdish Ethnic Group (Syria),98
Militia (Pro-Government); Military Forces of Russia (2000-); Hezbollah; Militia (Pro-Iran),99
Government of Syria (2000-),100
TIP: Turkistan Islamic Party; Opposition Rebels (Syria); Islamist Militia (Syria),101
Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,102
Military Forces of Syria (2000-) Syrian Arab Air Force; Militia (Pro-Government); Allied Syrian and/or Russian Forces,103
JTW: National Liberation Front; HTS: Hayat Tahrir al Sham; Al Sham Corps,104
Al Bab Military Council,105
Global Coalition Against Daesh; Military Forces of France (2017-),106
Operation Olive Branch; JSH: Free Syrian Army,107
HXP: Self-defense Forces,108
Militia (Pro-Government); Former Opposition Rebels (Syria),109
DFNS: Democratic Federation of Northern Syria,110
Militia (Pro-Government); Allied Syrian and/or Russian Forces; Military Forces of Syria (2000-) Syrian Arab Air Force,111
Sultan Murad Division,112
Military Forces of Iran (1989-),113
Students (Syria); Teachers (Syria),114
Military Forces of Syria (2000-) Air Force Intelligence Directorate,115
National Police Forces,116
Civilians (Syria); Refugees/IDPs (Syria),117
LaQ: Quds Brigade,118
Militia (Pro-Government); Shiite Muslim Militia (Syria),119
Military Forces of Turkey (2016-); Islamist Militia (Syria),120
TIP: Turkistan Islamic Party; Jaysh al Izza; HNDZ: Nour al Din al Zinki Movement; Free Idlib Army; Al Sham Corps; Jaysh al Nasr; Jaysh al Ahrar; Jaysh al Thani; Opposition Rebels (Syria); Islamist Militia (Syria),121
Kurdish Ethnic Militia (Syria),122
Al Sham Corps,123
Civilians (Syria); Prisoners (Syria),124
Islamist Militia (Syria); Civilians (Syria); Refugees/IDPs (Syria),125
Military Forces of Turkey (2016-); Opposition Rebels (Syria); Islamist Militia (Syria),126
Military Forces of the United States (2017-2021); Military Forces of the United Kingdom (2010-),127
Operation Peace Spring; Opposition Rebels (Syria),128
Former Mutaaz Billah Army,129
YPJ: Women's Protection Units,130
Local Council,131
Military Forces of the United States (2017-) Special Forces; Global Coalition Agaist Daesh,132
Shaitat Tribal Group (Syria),133
Refugees/IDPs (Syria); Islamic State (Syria),134
Islamic State (Syria); Prisoners (Syria),135
Military Forces of Syria (2000-) 5th Assault Corps,136
Military Forces of Syria (2000-) Syrian Arab Air Force; Allied Syrian and/or Russian Forces; Militia (Pro-Government),137
Military Forces of Syria (2000-) 4th Armored Division,138
JTW: National Liberation Front; Opposition Rebels (Syria); Islamist Militia (Syria),139
Military Forces of the United States (2017-) Special Forces,140
Military Forces of Russia (2000-) Military Police,141
Global Coalition Against Daesh; Military Forces of the United States (2017-) Special Forces; Military Forces of the United States (2017-); Military Forces of the United Kingdom (2010-),142
Hamza Brigade,143
Ahrar al Sharqiyah,144
Operation Peace Spring; Islamist Militia (Syria); JWS: Syrian National Army,145
Militia (Pro-Government); Mutiny of Opposition Rebels (Syria),146
Islamist Militia (Syria); HTS: Hayat Tahrir al Sham,147
Lawyers (Syria),148
Unidentified Military Forces,149
Former QSD: Syrian Democratic Forces,150
Military Forces of Syria (2000-) Military Intelligence,151
Military Forces of Syria (2000-) Prison Guards,152
Islamist Militia (Syria); Opposition Rebels (Syria),153
Civilians (Syria); Health Workers (Syria),154
Operation Peace Spring; JWS: Syrian National Army,155
HTS: Hayat Tahrir al Sham; Islamist Militia (Syria),156
