name,0
Armed clash,0
Air/drone strike,1
Shelling/artillery/missile attack,2
Remote explosive/landmine/IED,3
Attack,4
Government regains territory,5
Non-state actor overtakes territory,6
Abduction/forced disappearance,7
Looting/property destruction,8
Arrests,9
Disrupted weapons use,10
Non-violent transfer of territory,11
Agreement,12
Grenade,13
Suicide bomb,14
Other,15
Change to group/activity,16
Excessive force against protesters,17
Mob violence,18
Protest with intervention,19
Violent demonstration,20
Chemical weapon,21
Sexual violence,22
Headquarters or base established,23
Peaceful protest,24
